category_id,sku,price
7,29905,8.66
7,29625,8.33
7,26123,5.39
7,24835,5.39
7,19709,4.87
7,19353,4.67
7,14503,14.66
7,52047,4.57
7,35102,6.82
7,40588,1.32
7,75719,7.41
7,46602,11.82
7,73214,6.24
7,75208,1.66
7,74611,21.82
7,84715,24.99
7,75661,11.81
7,66651,20.41
7,28929,33.32
7,28222,2.24
7,16592,5.82
7,26507,3.99
7,13861,4.99
7,76921,3.99
7,58145,3.91
7,85566,5.66
7,74523,10.50
7,17707,5.82
7,85399,6.24
7,27381,4.99
7,50988,9.82
7,87959,6.99
7,67949,5.66
7,59121,6.66
7,15953,6.66
7,27631,9.82
7,72459,5.82
7,48343,8.32
7,79192,4.99
7,29734,6.66
7,95706,5.82
7,18737,6.24
7,61679,6.74
7,20201,3.00
7,30227,2.12
7,68110,0.82
7,61281,1.65
7,58340,1.40
7,66869,5.32
7,58759,5.32
7,44852,3.32
7,82213,1.53
7,85005,0.82
7,74506,4.20
7,21629,5.40
7,97723,3.99
7,63962,3.32
7,51354,1.12
7,70218,0.82
7,49011,6.35
7,61291,3.82
7,90060,0.82
7,44920,3.32
7,29812,3.32
7,99598,5.82
7,40544,2.61
7,22432,0.82
7,45669,3.32
7,81222,1.93
7,88217,4.94
7,53922,4.07
7,61808,0.82
7,34224,2.97
7,81953,5.41
7,71239,4.07
7,59404,4.34
7,89629,4.16
7,53122,6.99
7,82644,4.99
7,51610,0.82
7,87448,7.49
7,64699,3.32
7,74984,5.82
7,73266,2.16
7,57078,8.49
7,75346,5.74
7,62388,4.20
7,49589,4.99
7,82230,7.16
7,18482,15.82
7,13645,4.99
7,20604,0.82
7,15153,3.32
7,23876,3.32
7,43725,0.82
7,53173,15.82
7,74929,4.70
7,90983,6.98
7,16309,7.91
7,10867,10.82
7,52536,4.16
7,21116,8.99
7,69026,4.99
7,25578,6.66
7,55262,4.66
7,80306,3.32
7,66322,5.57
7,51272,4.99
7,50509,6.24
7,29474,5.14
7,97962,4.41
7,12545,6.43
7,94133,6.22
7,68757,8.27
7,26087,4.99
7,14040,3.32
7,72429,4.98
7,24222,10.82
7,83661,5.25
7,17635,7.97
7,97704,4.98
7,90814,9.61
7,15018,5.66
7,48844,6.92
7,44637,6.66
7,62553,6.08
7,75173,7.52
7,42982,9.44
7,83901,6.02
7,36406,9.88
7,52305,3.82
7,64601,7.86
7,62488,3.49
7,62009,12.65
7,15980,4.99
7,10909,7.49
7,63625,2.66
7,24792,12.37
7,89337,3.19
7,85936,1.86
7,75120,8.32
7,68878,5.82
7,51983,3.92
7,46672,2.99
7,41796,2.40
7,39651,7.48
7,38594,4.16
7,31077,6.26
7,17590,10.66
7,12791,5.07
11,64713,7.07
11,51977,9.15
11,37040,11.65
11,66542,18.32
11,58829,20.82
11,87314,22.48
11,89744,49.98
11,57222,83.32
11,33247,20.82
11,37452,18.32
11,27275,22.48
11,81342,92.48
11,44233,83.32
11,43273,89.98
11,49743,124.98
11,47480,27.48
11,94803,22.48
11,68942,72.48
11,17898,24.15
11,50054,83.32
11,47390,124.98
11,99434,487.48
11,92753,108.32
11,60425,37.48
11,84055,43.32
11,86444,124.98
11,44395,116.65
11,28560,166.65
11,23519,16.65
11,46310,5.23
11,51008,12.48
11,94459,20.82
11,98484,6.65
11,10974,29.15
11,28413,16.65
11,23052,24.98
11,98831,24.98
11,97832,6.65
11,79061,7.48
11,45930,6.65
11,30505,9.98
11,40322,36.65
11,41289,16.65
11,92100,29.15
11,98850,20.72
11,67693,14.98
11,32904,4.98
11,22275,35.82
11,91051,16.65
11,29617,13.32
11,97394,14.15
11,32372,31.65
11,61305,114.98
11,94440,23.32
11,50347,114.98
11,73906,7.48
11,97477,16.65
11,60411,16.65
11,44063,22.48
11,36170,17.48
11,44879,9.98
11,84218,19.15
11,25688,18.32
11,77064,30.82
11,49650,16.65
11,76475,22.48
11,91823,19.98
11,58048,13.32
11,14455,124.15
11,10464,24.98
11,65268,22.48
11,98653,27.48
11,76322,124.15
11,60141,35.82
11,81775,431.65
11,80092,18.32
11,95444,8.23
11,91384,5.47
11,90956,7.07
11,71558,6.62
11,69632,8.57
11,63188,11.87
11,49965,19.98
11,49785,27.48
11,48882,62.48
11,35789,7.49
11,35258,40.62
11,35248,29.98
11,26789,13.72
11,17062,4.40
11,68201,41.65
11,59139,41.65
11,98486,62.48
11,15510,99.15
11,47492,80.82
11,84903,133.32
11,99840,80.82
11,45604,162.48
11,86686,93.32
11,80359,49.98
11,68140,243.32
11,45353,24.98
11,39801,74.98
11,37835,76.65
11,63656,89.15
11,52253,120.82
11,99569,93.32
11,84621,60.82
11,23831,49.15
11,82237,166.65
11,35616,74.98
11,18874,45.82
11,13697,72.48
11,43881,51.65
11,20998,166.65
11,81167,80.82
11,87802,41.65
11,46182,258.32
11,96866,107.48
11,99393,415.82
11,24811,421.65
11,43110,241.65
11,57625,274.98
11,27840,34.15
11,32476,249.98
11,71650,233.32
11,65077,283.32
11,83700,308.32
11,99975,56.65
11,97391,249.98
11,93514,233.32
11,92408,266.65
11,81585,249.98
11,81079,266.65
11,79628,241.65
11,77484,258.32
11,76840,328.32
11,76752,274.98
11,76647,74.98
11,76147,283.32
11,69345,206.65
11,65887,374.98
11,62565,421.65
